International plan,Voice mail plan,Number vmail messages,Total day minutes,Total eve minutes,Total night minutes,Customer service calls,Churn
No,Yes,31,88.23,79.9,98.02,1,0
No,No,0,108.37,77.37,61.94,2,0
Yes,No,0,90.91,110.21,116.15,2,0
No,Yes,13,121.02,68.53,94.27,1,0
No,Yes,31,138.07,92.39,113.53,1,0
No,No,0,102.54,128.35,68.59,1,0
Yes,Yes,17,130.69,118.29,83.97,0,0
No,No,0,92.65,126.3,66.63,0,0
No,No,0,78.06,106.68,90.59,0,0
Yes,No,0,157.52,121.18,105.07,2,0
No,Yes,13,64.32,112.0,88.47,0,0
Yes,No,0,76.18,63.66,113.91,1,0
No,No,0,96.75,82.99,81.33,0,0
No,No,0,139.39,82.13,68.28,0,0
Yes,No,0,136.78,91.88,76.01,0,0
Yes,No,0,113.02,78.52,70.48,2,0
No,Yes,14,88.24,72.83,66.79,0,0
No,Yes,33,137.22,124.78,111.54,2,0
No,No,0,150.02,132.86,68.16,1,0
No,Yes,16,89.85,120.27,72.57,0,0
No,No,0,79.86,102.89,67.51,0,0
No,Yes,22,144.85,87.55,76.92,1,0
Yes,No,0,140.16,139.69,54.34,2,0
No,No,0,60.73,72.97,65.42,2,0
No,No,0,134.76,91.09,102.22,1,0
No,Yes,33,158.66,60.27,84.78,0,0
No,Yes,23,65.5,89.02,94.74,0,0
Yes,Yes,16,109.01,139.7,111.14,2,0
No,No,0,74.7,96.81,109.14,0,0
No,Yes,20,99.98,87.38,64.71,1,0
Yes,Yes,40,95.86,119.04,60.39,0,0
No,No,0,132.91,69.19,76.84,2,0
No,No,0,88.22,68.74,53.79,1,0
Yes,No,0,130.19,130.35,102.59,1,0
No,No,0,127.65,94.03,118.56,2,0
Yes,No,0,131.49,129.64,61.73,2,0
Yes,No,0,108.84,77.92,101.91,1,0
Yes,Yes,19,116.6,108.67,50.65,2,0
Yes,No,0,158.93,134.51,76.54,2,0
Yes,Yes,5,80.46,124.05,91.57,1,0
Yes,Yes,32,141.47,127.22,113.97,0,0
Yes,Yes,33,74.72,102.67,110.85,1,0
Yes,No,0,99.05,94.4,77.82,0,0
Yes,No,0,67.06,115.55,79.12,2,0
No,Yes,33,133.95,96.76,91.04,1,0
Yes,No,0,152.92,104.18,113.64,0,0
Yes,No,0,85.58,97.03,115.9,2,0
No,Yes,38,113.81,95.13,64.34,2,0
Yes,No,0,92.65,129.79,96.17,0,0
Yes,No,0,156.46,63.09,118.68,1,0
No,Yes,12,62.0,64.86,51.55,2,0
No,No,0,123.31,130.93,117.28,0,0
No,Yes,7,95.02,131.73,57.44,2,0
Yes,Yes,35,153.57,97.56,91.24,1,0
Yes,No,0,98.6,72.17,60.14,1,0
No,Yes,11,88.86,129.32,107.2,1,0
No,No,0,113.22,89.76,106.08,2,0
No,Yes,34,153.15,137.93,101.5,2,0
Yes,Yes,22,134.99,79.22,79.89,1,0
No,Yes,23,131.5,136.33,59.27,2,0
Yes,Yes,5,84.97,92.84,63.77,2,0
No,Yes,12,132.65,123.59,72.31,2,0
Yes,Yes,29,135.12,69.58,51.07,1,0
Yes,Yes,35,103.98,120.41,104.06,2,0
No,No,0,136.76,115.91,99.94,0,0
Yes,Yes,19,132.59,76.54,51.16,1,0
No,No,0,71.22,61.24,111.68,2,0
Yes,Yes,5,122.02,108.07,91.82,0,0
No,No,0,88.18,110.5,95.01,1,0
No,No,0,69.34,95.69,96.97,2,0
Yes,Yes,31,124.48,76.22,85.71,0,0
No,Yes,26,114.45,134.59,64.66,0,0
No,Yes,32,86.14,73.98,74.91,2,0
No,No,0,159.82,68.14,118.26,1,0
No,Yes,13,146.33,83.76,94.03,1,0
Yes,Yes,19,145.18,74.64,111.99,0,0
No,No,0,60.33,76.58,63.42,0,0
Yes,Yes,29,143.64,75.87,110.14,0,0
Yes,No,0,62.52,63.51,52.53,1,0
Yes,Yes,27,103.74,122.44,91.65,2,0
No,No,0,125.57,97.3,68.08,1,0
Yes,Yes,38,87.46,119.76,102.86,2,0
Yes,Yes,11,153.55,121.23,66.95,2,0
No,No,0,132.78,114.38,55.24,1,0
No,Yes,24,147.95,75.28,97.91,1,0
No,No,0,125.51,73.31,104.97,2,0
Yes,Yes,21,126.95,128.34,80.54,0,0
Yes,Yes,17,145.02,68.04,56.1,1,0
No,Yes,25,123.2,92.09,62.16,0,0
Yes,Yes,25,115.74,121.13,96.37,1,0
Yes,Yes,19,106.86,73.98,96.65,2,0
Yes,No,0,104.25,125.38,91.08,1,0
No,No,0,121.99,102.15,84.41,2,0
Yes,Yes,7,108.94,71.65,103.72,2,0
No,Yes,23,120.85,131.94,66.2,2,0
Yes,Yes,6,90.4,91.87,66.33,0,0
Yes,No,0,139.88,90.98,92.27,0,0
Yes,No,0,69.58,69.13,90.89,1,0
Yes,Yes,39,146.44,126.05,58.28,2,0
Yes,No,0,84.87,109.03,77.21,0,0
No,No,0,153.67,78.74,58.46,1,0
Yes,Yes,29,129.75,129.62,104.42,1,0
No,No,0,78.91,107.01,97.58,2,0
Yes,Yes,17,93.96,77.35,83.18,0,0
No,Yes,34,97.77,74.1,66.82,1,0
Yes,Yes,28,154.9,70.59,118.48,0,0
Yes,Yes,36,98.92,135.39,111.54,1,0
Yes,No,0,98.87,88.72,111.78,1,0
No,Yes,23,85.7,135.24,75.78,0,0
Yes,No,0,69.15,128.04,80.44,1,0
No,Yes,14,97.7,105.02,56.62,0,0
Yes,Yes,16,90.57,95.54,110.12,0,0
No,Yes,27,157.99,75.28,80.19,0,0
Yes,No,0,82.27,116.85,110.96,1,0
No,No,0,135.28,139.7,94.53,0,0
Yes,No,0,60.99,103.09,66.44,2,0
No,No,0,93.39,101.58,63.78,2,0
No,No,0,76.86,86.65,97.38,2,0
No,Yes,31,87.88,65.59,56.23,0,0
No,No,0,93.12,104.43,72.94,0,0
Yes,No,0,121.16,98.13,64.79,2,0
Yes,Yes,40,117.6,87.68,84.02,0,0
Yes,No,0,102.18,103.42,113.56,2,0
Yes,Yes,16,130.21,122.07,77.29,1,0
Yes,No,0,116.41,137.06,85.35,2,0
Yes,Yes,19,123.78,105.58,87.57,2,0
No,Yes,9,131.76,102.47,87.14,1,0
Yes,Yes,30,159.09,70.18,86.14,2,0
No,Yes,35,93.88,69.57,117.1,2,0
No,No,0,89.75,100.16,70.16,1,0
Yes,Yes,20,149.22,106.03,68.92,2,0
Yes,No,0,81.05,74.53,56.71,0,0
No,Yes,7,89.57,60.01,97.07,0,0
Yes,No,0,103.82,86.71,64.03,0,0
Yes,Yes,23,151.22,67.12,73.15,0,0
No,No,0,120.63,121.28,91.17,0,0
No,No,0,61.37,120.81,111.49,0,0
Yes,Yes,35,120.5,80.87,83.67,0,0
No,Yes,25,127.78,119.68,83.87,1,0
Yes,No,0,70.58,129.33,66.88,0,0
No,Yes,27,157.81,103.21,76.18,2,0
No,No,0,156.85,87.77,84.87,1,0
No,No,0,106.33,88.66,58.56,0,0
No,No,0,117.77,125.19,75.92,2,0
Yes,Yes,17,159.19,67.47,97.18,2,0
Yes,Yes,12,134.41,65.44,111.83,1,0
No,No,0,123.33,87.62,85.16,1,0
Yes,No,0,148.43,72.18,111.76,0,0
No,Yes,6,147.71,71.63,119.67,0,0
Yes,No,0,65.42,65.08,106.16,0,0
No,No,0,99.89,93.53,99.75,1,0
Yes,No,0,120.55,69.83,81.52,0,0
Yes,Yes,40,68.76,113.06,103.2,0,0
No,Yes,35,107.02,137.17,56.34,1,0
Yes,No,0,109.99,61.07,108.95,0,0
Yes,No,0,82.39,92.3,84.16,2,0
Yes,Yes,23,151.32,103.55,73.6,0,0
No,Yes,38,106.37,92.38,63.24,0,0
Yes,Yes,32,142.8,77.22,65.14,2,0
No,Yes,22,61.08,100.1,103.43,2,0
Yes,No,0,69.37,101.83,115.44,0,0
Yes,No,0,126.98,114.83,100.95,0,0
Yes,Yes,16,110.65,62.7,73.53,2,0
No,Yes,13,133.4,72.81,114.35,1,0
No,No,0,156.82,87.67,52.42,0,0
No,Yes,27,73.22,95.18,79.52,2,0
Yes,Yes,36,144.92,96.8,52.11,1,0
No,No,0,121.07,134.66,112.7,1,0
No,Yes,29,127.44,98.65,103.65,1,0
No,Yes,33,145.53,75.99,107.28,0,0
Yes,Yes,14,151.44,107.79,116.46,2,0
No,No,0,71.41,75.23,58.62,1,0
No,Yes,34,104.34,116.78,91.07,2,0
Yes,No,0,67.18,135.21,89.15,1,0
No,No,0,86.11,78.67,119.35,1,0
Yes,No,0,97.75,134.81,92.4,2,0
Yes,No,0,90.78,135.63,71.72,2,0
Yes,No,0,137.97,94.12,63.96,2,0
No,Yes,24,149.0,91.62,102.72,1,0
Yes,No,0,109.97,116.48,76.64,1,0
No,No,0,94.37,107.73,94.81,0,0
No,No,0,61.57,77.93,66.01,1,0
Yes,No,0,154.45,138.41,54.23,1,0
Yes,Yes,34,77.64,118.05,85.43,0,0
Yes,Yes,31,70.11,130.75,79.16,2,0
Yes,No,0,80.59,91.63,114.96,2,0
No,Yes,30,122.36,88.21,89.07,0,0
Yes,No,0,68.82,117.07,116.59,0,0
Yes,No,0,97.45,60.15,101.01,0,0
Yes,Yes,34,68.37,99.66,68.38,2,0
No,Yes,34,66.89,101.1,62.38,0,0
Yes,No,0,76.17,120.73,94.41,1,0
No,No,0,112.74,133.67,117.63,0,0
No,Yes,26,80.73,66.09,119.84,2,0
Yes,Yes,39,137.38,127.85,73.05,1,0
Yes,Yes,18,132.94,110.64,70.16,1,0
Yes,No,0,156.82,138.06,92.22,0,0
No,Yes,40,144.85,98.1,100.62,0,0
No,Yes,5,102.89,129.72,51.26,0,0
Yes,Yes,18,107.74,129.68,77.26,2,0
Yes,No,0,93.63,69.03,67.26,0,0
Yes,Yes,6,75.55,102.66,51.03,1,0
Yes,Yes,35,135.22,128.92,110.89,0,0
Yes,No,0,126.6,108.23,77.49,2,0
Yes,No,0,125.53,120.13,97.73,2,0
No,Yes,16,82.02,117.77,115.39,2,0
Yes,Yes,27,147.93,136.05,76.58,2,0
Yes,No,0,129.68,94.1,87.07,2,0
No,Yes,35,107.33,89.2,75.73,0,0
No,Yes,23,66.28,137.04,73.17,2,0
Yes,Yes,28,110.72,92.06,78.71,2,0
Yes,No,0,133.97,71.89,107.66,2,0
Yes,Yes,21,67.23,95.82,71.3,0,0
Yes,Yes,27,145.34,138.18,92.7,2,0
Yes,Yes,9,99.42,102.55,111.34,2,0
No,Yes,20,120.77,137.35,98.84,1,0
Yes,Yes,12,81.35,92.9,73.49,1,0
Yes,No,0,97.05,110.06,62.79,0,0
No,No,0,142.99,122.18,67.38,0,0
No,No,0,70.51,67.77,84.33,0,0
Yes,Yes,25,151.91,114.13,100.33,2,0
Yes,No,0,95.54,68.02,57.83,0,0
No,Yes,24,76.71,114.94,74.62,0,0
No,Yes,30,67.02,64.45,87.2,2,0
Yes,No,0,129.49,97.98,81.83,0,0
No,No,0,99.21,93.47,97.77,2,0
No,Yes,40,90.33,71.73,101.03,2,0
No,Yes,34,99.53,105.0,69.87,2,0
No,No,0,95.41,121.59,104.71,1,0
No,Yes,30,140.13,65.86,89.43,1,0
No,No,0,101.65,94.46,86.13,0,0
No,No,0,76.37,108.73,61.52,2,0
No,Yes,29,126.13,97.66,118.48,1,0
No,No,0,108.9,60.14,50.7,1,0
Yes,No,0,78.44,74.71,81.24,2,0
Yes,Yes,30,278.63,258.36,247.24,4,1
No,Yes,12,296.83,212.81,225.35,7,1
Yes,No,0,344.27,298.17,193.68,4,1
Yes,No,0,267.65,276.04,198.39,6,1
Yes,Yes,24,280.34,295.31,166.52,4,1
Yes,Yes,33,311.08,213.66,208.23,6,1
Yes,Yes,16,346.53,213.67,158.09,3,1
Yes,No,0,238.79,180.12,167.03,6,1
No,No,0,287.95,215.44,198.58,5,1
No,Yes,17,252.87,221.11,239.35,3,1
Yes,Yes,36,316.03,225.37,183.47,3,1
Yes,Yes,16,258.6,232.25,218.7,3,1
Yes,Yes,15,337.47,263.56,245.51,4,1
No,No,0,280.98,253.71,151.41,5,1
No,No,0,319.18,274.0,212.01,7,1
Yes,No,0,305.54,267.95,237.59,3,1
Yes,Yes,18,329.03,215.4,156.28,5,1
No,Yes,38,217.6,213.97,173.98,6,1
Yes,Yes,40,203.18,232.38,235.04,7,1
Yes,No,0,327.91,212.87,153.29,5,1
Yes,Yes,15,229.25,248.91,157.37,7,1
Yes,Yes,16,231.92,287.25,168.53,5,1
Yes,No,0,285.97,266.06,216.3,3,1
Yes,Yes,22,232.44,194.52,151.63,4,1
No,No,0,297.55,194.33,161.81,7,1
Yes,Yes,34,319.42,261.19,206.68,3,1
Yes,Yes,11,293.35,233.03,168.88,7,1
Yes,No,0,279.16,207.15,228.19,4,1
Yes,Yes,22,323.02,269.48,246.68,6,1
Yes,No,0,328.92,277.75,161.07,6,1
Yes,Yes,33,213.92,245.01,157.73,6,1
Yes,No,0,274.69,247.99,182.31,5,1
Yes,No,0,320.39,265.22,210.94,7,1
Yes,No,0,270.13,248.92,221.03,7,1
No,No,0,279.69,186.43,242.76,3,1
Yes,Yes,19,200.18,184.7,203.95,6,1
No,No,0,318.5,180.71,230.74,4,1
No,No,0,331.52,215.69,244.72,4,1
No,Yes,26,224.8,274.94,239.55,5,1
Yes,Yes,5,248.25,279.81,151.6,5,1
No,Yes,20,250.0,217.52,162.74,7,1
Yes,Yes,37,283.38,246.72,236.14,4,1
Yes,No,0,294.85,277.97,234.16,4,1
Yes,Yes,8,247.39,264.28,153.31,5,1
No,Yes,34,270.38,206.0,249.52,6,1
No,No,0,342.71,234.58,213.2,7,1
No,Yes,5,337.71,294.32,217.39,6,1
Yes,Yes,32,333.67,195.35,216.2,3,1
No,No,0,317.4,260.63,200.3,7,1
No,Yes,39,255.21,244.84,237.87,6,1
Yes,No,0,216.79,188.19,174.13,4,1
No,Yes,37,243.89,236.1,184.92,6,1
Yes,Yes,19,213.2,246.16,208.7,4,1
Yes,No,0,288.71,219.61,224.65,5,1
Yes,No,0,253.83,240.79,194.76,3,1
No,Yes,33,252.33,260.29,240.93,5,1
Yes,No,0,273.46,212.92,229.6,6,1
No,No,0,210.53,188.13,182.3,6,1
No,Yes,30,202.31,204.84,204.96,5,1
Yes,No,0,219.0,192.28,221.94,7,1
Yes,No,0,202.28,293.01,215.03,4,1
No,No,0,285.67,209.97,231.6,3,1
Yes,Yes,35,340.95,240.62,244.8,4,1
No,No,0,337.93,217.98,249.5,4,1
Yes,Yes,9,294.13,294.81,180.55,6,1
No,No,0,305.64,217.73,234.73,5,1
Yes,Yes,11,342.35,250.97,166.36,5,1
Yes,No,0,309.5,203.32,177.45,3,1
Yes,Yes,13,216.65,272.69,151.91,5,1
Yes,Yes,29,334.4,267.89,152.33,3,1
No,Yes,13,237.23,275.94,154.78,7,1
No,No,0,229.68,242.87,246.58,7,1
No,No,0,281.59,187.33,212.5,7,1
Yes,No,0,259.52,210.12,201.37,5,1
No,No,0,277.06,285.87,206.09,5,1
No,Yes,38,227.91,282.39,164.25,5,1
No,No,0,275.74,230.36,203.01,5,1
No,Yes,27,246.84,195.27,234.51,3,1
No,Yes,12,251.08,294.28,160.07,4,1
Yes,No,0,224.84,281.12,189.94,3,1
Yes,Yes,10,317.61,243.8,246.42,6,1
Yes,No,0,337.93,197.46,209.89,6,1
Yes,No,0,221.02,220.48,207.51,7,1
No,No,0,308.67,243.73,168.6,3,1
No,No,0,203.33,219.14,169.7,3,1
No,Yes,19,309.67,217.19,225.47,5,1
No,Yes,37,263.82,295.76,211.88,4,1
Yes,Yes,25,292.21,198.55,171.96,5,1
Yes,No,0,278.78,286.35,181.88,5,1
No,No,0,263.09,240.3,153.31,5,1
No,No,0,229.01,252.09,178.24,4,1
Yes,No,0,237.7,256.72,249.93,3,1
Yes,No,0,244.03,260.3,234.41,4,1
Yes,No,0,303.42,211.44,171.11,6,1
Yes,No,0,223.27,298.03,150.53,5,1
Yes,Yes,34,214.83,244.23,179.69,4,1
No,No,0,228.74,247.66,193.06,3,1
Yes,Yes,14,335.28,256.39,235.28,3,1
No,Yes,37,269.85,256.96,181.83,3,1
No,Yes,16,347.61,276.0,214.02,7,1
Yes,Yes,20,251.98,223.46,173.58,7,1
Yes,No,0,277.99,224.13,211.16,4,1
Yes,No,0,306.02,227.69,207.61,6,1
No,No,0,203.63,224.94,184.05,5,1
No,Yes,24,260.55,255.74,180.35,3,1
No,Yes,17,317.39,236.2,248.77,5,1
No,No,0,347.8,297.05,158.5,3,1
No,Yes,33,231.27,185.2,231.2,7,1
No,No,0,201.14,282.32,211.9,4,1
Yes,No,0,266.57,216.82,190.48,6,1
No,No,0,247.11,263.11,211.33,5,1
Yes,No,0,310.42,227.84,182.95,6,1
Yes,No,0,237.5,274.32,246.0,4,1
Yes,Yes,20,286.46,240.07,163.31,7,1
Yes,No,0,323.21,202.83,162.42,5,1
No,No,0,324.72,236.65,234.47,4,1
Yes,Yes,13,206.16,260.6,169.16,5,1
Yes,Yes,40,253.1,230.98,236.22,3,1
Yes,Yes,27,218.02,231.7,207.1,7,1
Yes,Yes,24,246.72,258.69,233.83,5,1
Yes,No,0,227.32,281.24,186.48,6,1
Yes,Yes,40,308.46,297.66,200.56,5,1
Yes,Yes,40,277.66,284.52,218.69,6,1
Yes,Yes,5,331.97,257.84,224.09,7,1
Yes,Yes,20,256.72,261.16,179.23,3,1
Yes,No,0,261.84,201.75,170.23,6,1
No,No,0,307.05,210.65,176.97,4,1
Yes,No,0,205.12,205.12,161.65,7,1
No,Yes,23,288.19,266.19,161.1,3,1
Yes,Yes,20,280.83,283.76,220.85,4,1
Yes,Yes,26,223.52,222.77,169.3,6,1
Yes,No,0,285.98,270.16,244.38,5,1
Yes,Yes,18,227.23,190.26,239.68,7,1
No,No,0,228.5,271.94,153.23,6,1
Yes,No,0,201.71,232.3,247.52,7,1
No,No,0,220.86,281.0,217.88,7,1
Yes,No,0,301.45,296.3,225.55,6,1
No,No,0,266.19,259.64,160.0,3,1
No,Yes,39,316.44,223.84,212.4,6,1
Yes,Yes,34,259.55,201.32,206.94,4,1
Yes,No,0,290.76,259.42,247.22,3,1
No,Yes,32,253.86,263.9,236.32,7,1
Yes,No,0,263.56,211.38,168.55,7,1
No,Yes,9,328.03,213.59,211.34,6,1
No,No,0,295.14,186.45,239.51,5,1
Yes,No,0,254.74,291.27,188.77,6,1
Yes,Yes,38,348.66,180.5,192.84,4,1
No,No,0,242.86,287.39,179.06,6,1
Yes,No,0,300.67,230.12,235.92,4,1
Yes,No,0,309.13,218.64,192.35,4,1
No,No,0,344.36,249.55,215.64,5,1
No,Yes,7,276.95,258.81,187.16,7,1
Yes,Yes,36,250.71,213.09,200.57,3,1
No,No,0,324.52,187.74,159.86,3,1
Yes,Yes,34,200.5,232.03,207.78,5,1
Yes,No,0,294.52,294.06,186.36,3,1
Yes,Yes,17,252.65,291.82,182.42,4,1
No,Yes,10,253.77,195.41,165.32,6,1
Yes,Yes,31,300.85,297.26,200.78,4,1
Yes,Yes,17,282.97,238.54,194.93,3,1
No,No,0,348.79,289.17,210.01,5,1
Yes,Yes,23,221.19,293.55,169.44,4,1
No,No,0,316.1,202.04,218.86,7,1
Yes,No,0,213.35,258.47,173.53,7,1
No,No,0,316.37,181.01,232.98,6,1
No,Yes,10,294.52,296.36,159.41,4,1
No,Yes,21,259.19,258.39,189.16,6,1
No,Yes,35,221.17,257.53,188.86,5,1
No,Yes,40,283.38,222.43,232.43,3,1
Yes,No,0,318.62,270.66,203.16,7,1
No,Yes,27,336.96,247.91,159.48,4,1
Yes,No,0,230.89,244.38,164.93,5,1
No,No,0,230.84,197.06,193.56,6,1
No,No,0,218.3,266.69,214.67,6,1
No,No,0,259.9,194.86,170.89,3,1
No,Yes,33,293.03,203.76,232.95,5,1
Yes,No,0,245.04,275.07,170.5,4,1
No,Yes,18,214.58,218.84,239.5,7,1
No,No,0,336.4,280.84,238.34,3,1
No,No,0,346.37,271.96,211.79,3,1
No,No,0,239.01,249.29,197.56,4,1
Yes,Yes,39,287.9,235.53,162.82,7,1
Yes,Yes,26,303.23,181.68,164.73,7,1
Yes,Yes,18,276.33,223.35,216.33,4,1
Yes,No,0,331.79,294.84,192.1,6,1
Yes,No,0,246.79,197.86,202.42,3,1
Yes,Yes,17,237.32,259.15,162.95,3,1
No,No,0,323.0,279.91,235.37,5,1
Yes,Yes,35,229.29,196.54,201.63,5,1
No,No,0,240.48,233.55,177.03,6,1
No,No,0,282.94,268.92,158.99,5,1
Yes,No,0,328.59,275.35,158.32,3,1
No,Yes,23,299.91,283.07,243.38,4,1
Yes,No,0,207.66,235.93,199.86,4,1
No,No,0,253.13,298.89,154.98,3,1
Yes,No,0,203.09,217.07,243.76,3,1
No,Yes,22,290.16,207.93,184.18,5,1
Yes,Yes,38,264.12,213.55,230.46,7,1
No,No,0,263.5,249.49,194.23,4,1
Yes,Yes,18,218.95,244.59,204.65,5,1
Yes,No,0,299.25,212.58,152.45,3,1
No,Yes,5,232.67,249.84,196.13,3,1
No,No,0,275.65,237.77,158.08,5,1
Yes,No,0,338.05,236.03,204.07,3,1
No,No,0,254.55,181.01,203.54,3,1
Yes,No,0,224.28,250.23,163.25,5,1
Yes,Yes,35,270.95,185.44,163.64,7,1
No,No,0,321.37,277.45,210.63,7,1
Yes,Yes,26,261.78,230.73,215.68,4,1
No,No,0,328.1,200.55,240.07,7,1
No,Yes,5,263.37,248.38,154.02,7,1
No,Yes,17,249.16,277.39,198.33,7,1
No,Yes,14,341.02,191.21,202.19,7,1
No,Yes,9,258.27,209.99,199.04,5,1
Yes,Yes,20,295.83,249.07,183.88,6,1
No,No,0,297.98,212.41,151.23,4,1
No,No,0,237.73,194.28,179.18,6,1
No,Yes,7,348.5,224.42,182.09,7,1
No,No,0,318.17,235.73,225.09,7,1
No,Yes,17,252.29,232.98,165.95,7,1
No,No,0,306.98,265.83,220.83,4,1
Yes,Yes,27,251.43,186.75,220.48,3,1
Yes,Yes,25,292.1,214.22,192.7,3,1
No,Yes,28,268.23,261.69,150.85,7,1
Yes,Yes,18,281.27,188.57,233.84,7,1
Yes,No,0,274.46,182.81,235.1,4,1
Yes,Yes,20,272.83,193.84,178.62,3,1
Yes,Yes,8,202.6,272.13,222.52,7,1
No,Yes,39,264.24,273.48,169.45,7,1
No,Yes,37,325.61,282.16,229.68,6,1
Yes,Yes,38,235.45,288.57,225.34,4,1
Yes,No,0,244.98,183.5,193.81,3,1
No,No,0,345.47,230.1,227.4,5,1
No,No,0,292.47,278.93,175.24,6,1
Yes,No,0,287.59,248.91,216.58,3,1
Yes,Yes,9,344.06,249.59,200.33,7,1
Yes,No,0,311.08,278.01,232.77,7,1
Yes,No,0,338.66,208.96,217.79,7,1
Yes,No,0,246.25,205.58,215.74,7,1
Yes,No,0,260.68,237.65,173.68,6,1
Yes,No,0,210.02,261.53,166.23,3,1
No,Yes,37,248.54,216.68,196.8,4,1
No,Yes,7,263.35,288.89,196.56,5,1
No,Yes,31,245.86,231.72,242.34,4,1
No,Yes,21,317.56,226.0,190.5,6,1
Yes,No,0,303.17,258.46,178.2,7,1
No,No,0,349.63,191.34,213.4,4,1
No,No,0,325.67,269.38,222.44,6,1
No,Yes,11,324.77,271.11,178.85,7,1
Yes,Yes,40,233.51,294.79,213.26,7,1
No,No,0,236.72,204.63,237.15,5,1
No,Yes,26,240.09,269.5,249.47,3,1
No,No,0,337.97,223.26,216.97,6,1
No,Yes,21,259.86,234.12,232.06,4,1
Yes,Yes,9,276.28,299.25,155.11,4,1
No,No,0,238.11,204.82,156.14,6,1
No,Yes,34,272.21,230.51,216.81,7,1
No,No,0,253.91,299.17,216.38,3,1
Yes,No,0,208.3,225.5,191.32,7,1
Yes,Yes,26,252.7,214.89,160.87,3,1
Yes,Yes,21,349.95,256.42,215.43,7,1
No,Yes,14,274.19,229.39,235.56,4,1
No,Yes,10,236.26,213.45,156.45,7,1
No,Yes,19,276.5,271.61,169.07,3,1
Yes,Yes,32,220.49,298.63,197.4,4,1
Yes,Yes,18,274.88,254.0,208.26,5,1
No,No,0,324.71,210.57,202.18,3,1
Yes,Yes,29,218.25,278.46,158.3,7,1
Yes,Yes,6,319.61,213.27,212.42,5,1
Yes,Yes,17,338.59,298.96,223.85,5,1
No,No,0,267.14,249.42,199.28,4,1
No,Yes,32,344.8,191.29,249.0,4,1
No,No,0,241.81,226.41,234.27,4,1
No,Yes,25,204.89,181.93,221.44,5,1
No,Yes,26,277.01,198.32,183.82,6,1
Yes,No,0,200.64,295.68,225.8,4,1
Yes,No,0,248.68,295.48,158.96,6,1
