International plan,Voice mail plan,Number vmail messages,Total day minutes,Total eve minutes,Total night minutes,Customer service calls,Churn
No,Yes,37,63.12,184.65,217.79,5,1
Yes,No,0,333.02,92.97,200.52,5,1
Yes,Yes,5,146.78,208.39,68.2,7,1
Yes,No,0,345.81,225.8,62.77,5,1
No,No,0,244.27,299.27,199.64,0,0
Yes,Yes,1,134.17,129.72,99.1,2,0
No,Yes,22,334.16,126.64,198.02,7,1
Yes,Yes,18,131.44,54.92,142.16,2,0
Yes,No,0,159.1,98.08,142.51,1,0
No,Yes,11,160.51,178.23,189.72,6,1
No,Yes,13,239.02,64.86,156.18,5,1
Yes,No,0,155.42,285.0,83.36,3,1
No,No,0,330.99,146.2,218.18,7,1
Yes,No,0,288.02,212.4,118.43,5,1
No,Yes,9,161.57,163.53,231.86,0,0
Yes,No,0,114.37,215.71,235.07,6,1
Yes,Yes,0,274.66,226.99,79.32,5,1
No,Yes,31,225.53,123.66,80.17,5,1
No,Yes,33,260.39,55.3,85.23,2,0
Yes,No,0,280.07,216.53,53.55,6,1
No,Yes,26,149.29,128.37,89.03,7,1
No,Yes,32,108.67,80.67,182.08,7,1
Yes,No,0,117.89,201.33,68.49,5,1
Yes,No,0,141.12,184.87,223.22,3,1
Yes,Yes,3,224.84,249.42,154.08,2,0
No,Yes,25,99.78,201.9,186.15,1,0
No,No,0,255.02,125.18,75.08,0,0
No,Yes,11,98.06,283.27,220.19,1,0
Yes,No,0,128.51,102.11,179.21,7,1
Yes,Yes,37,194.29,80.15,189.54,3,1
No,Yes,2,175.86,122.28,213.15,4,1
Yes,No,0,116.08,87.19,208.88,0,0
Yes,Yes,5,206.33,194.38,166.51,2,0
No,Yes,29,185.95,150.32,177.66,5,1
No,No,0,97.22,251.42,110.9,6,1
No,Yes,28,290.11,279.16,175.37,0,1
No,No,0,115.49,144.77,105.33,6,1
Yes,Yes,37,248.66,295.08,187.32,2,0
No,Yes,0,335.61,239.0,218.59,5,1
No,Yes,18,173.51,65.44,232.0,7,1
Yes,No,0,64.19,198.88,96.18,1,0
No,Yes,8,114.13,102.61,60.82,5,1
No,No,0,322.05,139.0,82.38,3,1
Yes,No,0,244.3,114.15,221.83,3,1
No,No,0,314.24,226.03,159.02,5,1
No,Yes,14,196.55,144.03,168.48,1,0
No,Yes,16,279.83,126.07,103.78,0,1
No,No,0,151.46,91.52,124.43,6,1
Yes,Yes,4,260.91,224.48,222.81,2,0
Yes,No,0,100.98,201.27,61.82,7,1
Yes,No,0,253.21,294.17,227.36,0,0
No,Yes,33,271.45,71.87,195.53,1,1
Yes,No,0,338.42,141.99,56.03,5,1
No,Yes,7,115.17,212.98,194.84,5,1
Yes,No,0,324.6,276.31,61.15,7,1
Yes,No,0,229.97,89.87,149.04,1,0
No,No,0,279.02,86.61,218.45,1,1
Yes,No,0,267.87,102.44,81.26,6,1
No,No,0,344.27,185.75,249.12,4,1
Yes,No,0,202.98,52.26,61.67,6,1
Yes,Yes,35,207.37,96.82,120.83,7,1
Yes,No,0,348.79,201.72,112.54,0,1
No,No,0,204.88,61.8,186.61,1,0
Yes,No,0,340.46,69.55,224.91,6,1
Yes,No,0,322.32,103.98,115.86,3,1
No,Yes,5,72.53,191.78,59.37,3,0
No,Yes,2,168.96,281.1,84.09,6,1
Yes,No,0,304.31,298.33,58.83,1,1
No,Yes,35,239.48,241.69,239.71,0,0
Yes,Yes,10,77.83,198.79,82.47,2,0
Yes,Yes,18,177.14,275.75,236.9,2,0
Yes,Yes,3,183.44,276.19,96.91,4,1
No,No,0,85.46,145.5,110.03,4,1
Yes,No,0,189.85,182.34,135.15,3,1
Yes,Yes,14,276.66,154.46,152.83,6,1
No,No,0,195.8,269.92,139.75,3,0
No,No,0,251.43,230.21,128.29,4,1
No,Yes,15,323.97,299.95,64.71,2,1
Yes,No,0,211.81,187.34,246.45,0,0
No,Yes,14,303.76,208.68,51.41,6,1
No,Yes,32,78.02,106.8,163.18,7,1
Yes,Yes,29,328.86,196.58,85.32,4,1
Yes,No,0,209.16,137.7,217.43,2,0
Yes,Yes,33,103.37,206.08,86.4,7,1
Yes,Yes,24,117.48,174.32,209.87,0,0
No,No,0,104.56,156.08,105.67,4,1
No,No,0,95.18,156.04,149.01,4,1
No,No,0,259.59,174.53,57.27,2,0
Yes,No,0,311.34,144.88,230.5,6,1
Yes,No,0,303.83,237.08,202.38,1,1
Yes,Yes,28,229.57,82.53,110.51,7,1
Yes,No,0,181.24,273.36,106.81,1,0
Yes,Yes,37,129.12,53.98,84.26,1,0
Yes,Yes,25,110.96,73.94,149.99,0,0
Yes,No,0,313.21,130.02,246.7,2,1
Yes,Yes,2,185.9,144.42,138.86,5,1
No,No,0,81.55,163.54,56.31,6,1
No,No,0,86.47,107.76,176.4,6,1
No,No,0,236.44,103.38,171.23,0,0
Yes,No,0,263.31,263.81,159.95,3,1
Yes,No,0,239.38,54.8,235.12,2,0
No,No,0,70.46,154.74,80.78,4,1
Yes,No,0,234.84,193.83,175.14,1,0
Yes,No,0,144.26,121.03,171.54,5,1
No,Yes,2,85.42,118.03,50.12,4,1
No,No,0,89.42,61.47,125.32,1,0
No,Yes,23,86.39,209.39,77.6,3,0
Yes,Yes,23,241.92,258.02,237.65,4,1
No,Yes,33,61.69,229.38,170.23,1,0
Yes,No,0,121.97,74.33,102.87,2,0
Yes,No,0,326.7,88.35,146.58,6,1
Yes,Yes,19,226.58,253.29,246.44,4,1
No,No,0,133.92,60.32,209.51,0,0
No,No,0,64.26,223.56,201.24,0,0
No,Yes,26,134.26,91.38,138.95,1,0
No,Yes,19,313.4,277.29,106.73,6,1
No,No,0,152.56,125.24,131.4,3,0
Yes,No,0,265.11,87.71,239.44,0,0
No,No,0,99.18,109.43,84.94,5,1
No,No,0,113.82,203.81,223.86,2,0
No,No,0,85.7,95.66,240.98,2,0
Yes,Yes,37,178.99,175.24,189.37,2,0
Yes,Yes,16,321.33,210.77,135.15,1,1
No,Yes,30,272.88,295.29,179.44,0,1
Yes,Yes,12,62.79,257.01,140.16,0,0
No,No,0,312.25,149.52,146.62,4,1
Yes,Yes,14,93.49,120.56,126.85,1,0
No,Yes,16,172.76,132.93,95.45,7,1
Yes,Yes,23,141.6,216.83,67.95,0,0
Yes,No,0,58.47,62.35,242.05,3,1
Yes,Yes,34,89.8,118.11,185.94,4,1
Yes,Yes,7,275.18,195.34,163.03,1,1
No,No,0,82.19,96.02,242.53,5,1
Yes,Yes,19,131.28,231.99,80.38,7,1
Yes,Yes,11,89.25,176.39,128.42,4,1
No,No,0,233.63,235.04,99.73,7,1
Yes,No,0,347.96,188.4,218.49,0,1
No,No,0,112.14,99.41,133.77,5,1
No,Yes,37,310.61,247.25,64.21,2,1
Yes,Yes,9,66.86,91.71,108.99,0,0
Yes,No,0,52.87,226.11,212.58,4,1
No,Yes,24,99.37,205.51,166.35,7,1
No,Yes,3,218.5,182.24,220.84,2,0
Yes,No,0,90.02,223.14,181.6,0,0
No,Yes,31,144.21,111.92,138.95,2,0
No,No,0,91.12,201.59,232.31,5,1
No,No,0,309.93,189.18,88.37,4,1
No,No,0,256.34,113.42,210.61,3,0
No,No,0,173.36,194.92,229.3,1,0
Yes,No,0,310.71,160.09,164.94,7,1
Yes,No,0,85.71,198.82,203.0,3,1
Yes,No,0,117.12,281.19,139.92,1,0
Yes,No,0,50.05,120.65,210.41,1,0
Yes,No,0,57.52,231.64,127.25,1,0
No,Yes,28,64.71,231.33,89.11,3,0
No,Yes,6,305.33,282.12,87.44,2,1
Yes,Yes,2,209.81,264.01,61.97,6,1
Yes,Yes,39,323.42,97.99,237.24,7,1
Yes,No,0,220.35,256.93,177.73,3,1
No,No,0,120.82,186.32,198.96,5,1
Yes,Yes,16,120.65,149.13,56.46,0,0
Yes,No,0,308.12,226.59,124.73,7,1
No,Yes,37,215.03,127.36,145.63,7,1
No,Yes,10,188.28,249.49,153.59,3,0
No,No,0,289.93,114.72,150.25,6,1
No,Yes,26,294.84,89.45,240.54,6,1
No,Yes,28,165.47,129.83,89.58,6,1
No,Yes,14,153.68,242.8,245.88,1,0
No,No,0,216.25,235.98,108.08,4,1
No,Yes,38,307.56,170.17,116.09,0,1
No,No,0,265.24,77.84,245.64,3,0
Yes,No,0,66.2,146.74,194.87,0,0
Yes,No,0,232.47,185.35,226.93,5,1
Yes,Yes,2,176.91,149.0,91.39,6,1
No,No,0,99.09,131.94,244.46,3,0
Yes,No,0,61.41,265.44,106.66,6,1
Yes,Yes,21,78.77,141.1,184.19,4,1
Yes,No,0,289.7,53.4,159.9,7,1
No,No,0,112.07,259.52,154.58,0,0
Yes,Yes,2,338.14,262.71,56.91,3,1
No,No,0,167.97,173.13,116.66,5,1
No,Yes,5,238.9,192.61,139.81,3,0
No,Yes,1,344.99,51.4,121.65,7,1
Yes,Yes,1,272.91,186.13,239.82,5,1
No,No,0,269.16,111.11,102.35,0,0
No,No,0,336.42,221.01,140.06,1,1
No,No,0,56.06,150.01,239.18,3,0
Yes,Yes,7,282.19,163.41,97.75,5,1
Yes,No,0,57.43,270.84,146.02,4,1
No,Yes,9,329.82,217.47,140.21,6,1
No,No,0,336.09,126.08,139.85,2,1
Yes,Yes,29,94.42,277.01,221.4,6,1
Yes,No,0,135.24,124.25,77.44,7,1
Yes,No,0,334.09,253.54,96.63,1,1
No,Yes,20,330.77,293.26,131.76,2,1
Yes,No,0,333.89,63.08,230.72,3,1
No,Yes,35,77.28,198.9,213.54,1,0
Yes,No,0,275.25,296.5,161.76,6,1
Yes,No,0,182.31,173.13,52.93,4,1
Yes,Yes,17,232.63,134.79,95.75,6,1
No,Yes,17,120.77,260.91,247.87,4,1
Yes,Yes,34,166.97,54.51,145.94,4,1
No,Yes,20,302.66,92.02,247.77,3,1
No,Yes,25,167.32,103.37,145.17,3,0
No,No,0,253.49,247.94,185.84,7,1
Yes,No,0,160.29,66.65,132.2,1,0
No,Yes,7,309.61,201.6,239.97,3,1
Yes,Yes,19,339.18,191.58,121.86,2,1
Yes,No,0,260.16,167.64,211.69,7,1
Yes,No,0,179.61,145.45,72.73,3,1
No,Yes,5,229.32,132.06,242.84,0,0
No,No,0,348.98,126.16,168.48,6,1
Yes,Yes,34,193.85,59.76,122.31,4,1
Yes,Yes,38,246.98,153.47,206.53,7,1
Yes,Yes,28,178.76,126.01,54.61,1,0
Yes,No,0,199.2,128.42,140.03,0,0
Yes,Yes,22,115.31,204.41,191.51,5,1
No,No,0,136.4,270.65,125.37,1,0
No,No,0,85.44,275.6,54.2,1,0
Yes,No,0,307.48,81.44,138.25,0,1
No,Yes,7,79.57,53.18,200.1,5,1
Yes,Yes,17,150.69,280.03,211.25,6,1
No,Yes,37,116.95,292.14,112.72,6,1
Yes,No,0,69.61,299.13,196.81,1,0
No,No,0,65.64,88.2,102.13,5,1
No,No,0,275.82,130.84,163.8,6,1
Yes,No,0,312.4,62.54,191.15,2,1
No,No,0,298.57,213.05,63.81,7,1
Yes,No,0,336.0,148.47,105.28,1,1
No,Yes,37,67.36,101.09,215.38,4,1
Yes,Yes,4,101.07,137.52,198.77,3,1
Yes,Yes,30,163.29,141.58,244.45,6,1
No,No,0,151.03,154.74,166.81,4,1
Yes,Yes,8,193.16,128.02,124.81,5,1
Yes,No,0,286.7,288.23,185.22,5,1
No,No,0,84.87,121.79,74.53,4,1
Yes,No,0,119.83,158.88,217.49,2,0
Yes,No,0,210.75,255.81,218.98,5,1
Yes,No,0,218.41,139.9,159.84,5,1
No,No,0,96.89,59.09,71.12,0,0
Yes,No,0,305.49,204.27,146.39,5,1
No,Yes,33,139.64,209.83,116.79,0,0
Yes,Yes,23,200.14,73.42,122.2,2,0
No,Yes,9,246.01,169.39,189.71,0,0
Yes,Yes,39,123.78,238.58,107.92,5,1
Yes,No,0,214.75,204.61,122.13,0,0
No,Yes,36,262.97,111.58,231.75,5,1
Yes,No,0,60.93,111.71,145.88,7,1
Yes,Yes,30,168.38,129.04,108.52,4,1
Yes,Yes,28,95.57,282.38,187.13,3,1
No,No,0,68.71,263.34,67.63,0,0
No,Yes,16,219.94,50.53,141.62,0,0
No,Yes,36,135.6,78.18,95.72,7,1
No,No,0,111.46,182.44,145.78,0,0
Yes,No,0,288.82,199.63,234.64,1,1
Yes,Yes,7,212.6,181.24,57.7,3,1
No,Yes,33,169.56,107.5,53.78,1,0
No,Yes,31,264.92,197.03,242.3,4,1
No,Yes,5,307.8,182.02,212.04,2,1
No,No,0,121.5,84.8,239.47,0,0
No,Yes,5,174.16,274.01,52.55,1,0
Yes,Yes,15,271.56,179.86,127.43,4,1
No,No,0,331.1,153.33,95.92,3,1
No,No,0,164.15,180.98,224.1,1,0
No,Yes,19,75.59,294.64,212.79,2,0
Yes,No,0,90.57,288.5,141.65,6,1
No,No,0,75.6,175.82,203.61,2,0
No,Yes,17,154.2,186.64,96.72,3,0
Yes,No,0,118.83,245.06,140.47,7,1
Yes,Yes,0,105.73,129.01,95.24,7,1
Yes,No,0,135.04,97.43,245.85,6,1
No,Yes,9,284.59,74.13,226.94,3,1
Yes,Yes,13,251.09,281.59,223.68,4,1
No,No,0,231.82,154.74,241.2,3,0
No,No,0,116.17,239.16,185.23,4,1
Yes,No,0,265.76,148.73,206.12,7,1
Yes,No,0,60.88,200.34,167.93,0,0
No,Yes,5,165.02,216.2,126.18,4,1
Yes,Yes,31,199.96,99.94,64.7,3,1
No,No,0,282.61,104.4,185.57,2,1
No,No,0,178.28,173.9,114.34,6,1
Yes,Yes,38,242.89,173.06,99.42,2,0
Yes,No,0,100.88,149.2,65.64,6,1
Yes,Yes,28,169.27,108.69,146.94,5,1
Yes,No,0,58.48,121.43,144.87,0,0
Yes,Yes,10,295.21,264.44,108.44,2,1
No,No,0,197.22,82.57,220.11,1,0
No,Yes,31,288.66,96.9,236.2,6,1
Yes,Yes,2,85.43,296.99,212.0,0,0
No,Yes,21,84.46,269.27,180.24,0,0
Yes,No,0,180.52,157.74,238.0,7,1
No,Yes,11,66.83,259.35,54.21,2,0
Yes,No,0,153.33,192.7,189.49,7,1
Yes,Yes,20,230.29,108.98,227.77,6,1
Yes,Yes,39,228.98,159.34,247.75,1,0
No,No,0,313.53,193.27,198.0,4,1
Yes,Yes,32,173.48,130.41,237.39,2,0
No,Yes,36,334.11,121.77,150.74,5,1
No,Yes,9,213.84,106.43,242.81,6,1
No,No,0,187.89,54.32,98.86,6,1
Yes,No,0,265.62,232.91,226.23,2,0
Yes,Yes,24,314.85,187.12,140.77,0,1
Yes,Yes,39,144.13,238.17,138.59,3,1
Yes,Yes,28,177.4,272.21,117.62,4,1
No,No,0,341.84,66.01,174.72,0,1
Yes,No,0,334.9,111.78,105.27,7,1
Yes,Yes,0,128.2,170.78,162.39,7,1
Yes,No,0,230.3,243.67,226.3,4,1
Yes,Yes,38,309.71,144.92,191.53,0,1
Yes,No,0,180.18,225.28,233.03,7,1
Yes,No,0,216.93,218.28,107.75,2,0
No,Yes,1,137.86,121.93,92.07,1,0
Yes,No,0,347.08,134.92,177.03,3,1
No,No,0,124.79,189.73,58.85,7,1
Yes,Yes,37,145.02,267.64,141.29,2,0
Yes,Yes,30,206.24,131.91,192.88,1,0
Yes,Yes,30,148.8,167.95,144.87,7,1
Yes,Yes,40,281.58,237.68,93.85,2,1
No,Yes,25,257.63,258.48,97.85,5,1
Yes,No,0,298.37,252.43,242.9,0,1
Yes,No,0,182.01,119.14,233.29,5,1
No,Yes,33,102.27,118.61,139.93,2,0
Yes,No,0,62.61,212.88,249.02,1,0
Yes,Yes,18,147.34,62.14,187.84,3,1
Yes,No,0,93.11,216.85,155.81,7,1
No,Yes,34,335.5,160.84,84.3,6,1
Yes,No,0,80.84,296.35,141.28,2,0
Yes,Yes,2,192.12,245.05,150.72,1,0
No,Yes,31,250.48,197.77,64.11,3,0
Yes,No,0,105.75,224.95,90.34,7,1
Yes,Yes,28,270.97,221.83,131.16,4,1
No,No,0,120.98,100.37,229.39,7,1
No,No,0,222.84,258.69,79.4,4,1
No,No,0,303.06,234.33,171.95,1,1
Yes,Yes,3,253.17,165.74,183.94,0,0
No,Yes,40,245.12,283.53,77.02,6,1
Yes,No,0,167.23,279.54,232.89,2,0
No,Yes,18,158.83,234.35,111.72,7,1
No,No,0,142.55,196.18,84.92,2,0
No,No,0,88.16,230.14,248.05,0,0
No,Yes,22,280.03,288.81,56.4,5,1
Yes,No,0,341.05,110.43,144.27,0,1
Yes,Yes,30,163.54,184.04,94.51,5,1
No,Yes,36,204.43,102.59,158.12,6,1
No,Yes,24,285.94,234.86,105.95,3,1
No,Yes,2,277.07,240.95,237.78,5,1
No,No,0,166.74,156.79,195.59,7,1
Yes,Yes,11,192.58,144.84,197.07,7,1
Yes,No,0,112.59,192.06,211.8,1,0
Yes,No,0,142.25,127.93,235.37,3,1
Yes,Yes,27,253.1,78.81,226.37,3,1
No,Yes,29,68.03,232.04,63.82,1,0
Yes,Yes,4,194.09,260.02,204.51,2,0
Yes,Yes,16,232.79,132.72,226.39,5,1
Yes,No,0,234.14,98.49,133.57,3,1
No,Yes,13,96.16,175.09,238.97,6,1
Yes,Yes,19,309.87,263.9,83.15,7,1
Yes,Yes,8,177.91,208.74,181.14,7,1
No,Yes,0,112.09,144.78,146.96,1,0
Yes,No,0,189.01,216.89,134.04,0,0
No,Yes,22,345.54,231.62,105.57,7,1
No,No,0,283.02,77.44,130.77,4,1
No,No,0,107.54,58.4,129.53,0,0
No,Yes,20,338.23,221.54,63.78,4,1
Yes,No,0,335.81,287.96,54.68,4,1
No,Yes,39,201.37,201.94,64.12,0,0
Yes,Yes,37,214.21,156.06,99.42,1,0
Yes,Yes,13,130.03,277.83,178.4,2,0
No,Yes,40,136.04,157.93,246.35,6,1
Yes,Yes,36,348.23,191.79,189.84,2,1
No,Yes,25,105.06,57.81,81.1,0,0
No,Yes,30,197.25,229.56,89.04,5,1
Yes,Yes,15,75.45,112.28,91.74,1,0
Yes,Yes,39,209.36,195.7,240.56,1,0
No,No,0,177.22,85.61,231.23,5,1
Yes,No,0,326.82,183.99,166.34,4,1
Yes,No,0,176.69,245.26,165.91,6,1
Yes,Yes,1,218.08,147.73,167.02,2,0
Yes,Yes,23,87.42,77.52,203.82,4,1
No,No,0,333.65,61.66,205.42,5,1
No,Yes,9,227.75,173.75,131.32,0,0
Yes,No,0,315.28,186.53,157.16,7,1
No,Yes,33,66.15,96.34,224.32,4,1
No,Yes,7,73.98,94.94,73.02,4,1
Yes,No,0,279.46,128.32,215.62,2,1
No,Yes,40,293.88,251.72,72.77,7,1
No,No,0,204.81,160.6,229.15,5,1
Yes,Yes,27,297.7,165.06,108.65,6,1
Yes,No,0,183.39,234.65,107.69,4,1
No,Yes,32,305.28,198.07,84.08,0,1
Yes,Yes,17,73.76,136.97,195.25,1,0
No,Yes,5,245.68,205.7,226.51,1,0
Yes,No,0,343.27,87.34,69.91,5,1
No,Yes,18,134.38,171.99,181.45,4,1
Yes,No,0,251.93,99.22,136.36,2,0
Yes,No,0,269.01,109.5,111.7,0,0
Yes,No,0,128.31,187.03,162.8,2,0
No,Yes,23,147.11,98.19,124.96,0,0
No,No,0,141.27,88.13,136.89,7,1
No,Yes,27,200.66,120.92,51.1,3,0
No,No,0,270.89,141.77,78.58,6,1
Yes,Yes,39,229.95,74.53,181.83,2,0
No,No,0,145.7,236.06,104.36,7,1
Yes,Yes,5,188.4,77.39,165.5,4,1
No,Yes,40,194.44,181.81,163.98,7,1
Yes,Yes,34,160.47,299.43,117.24,6,1
Yes,No,0,56.29,137.06,239.23,2,0
Yes,No,0,293.21,146.14,242.3,5,1
Yes,No,0,343.15,243.5,141.86,0,1
Yes,Yes,28,101.53,149.58,61.78,0,0
Yes,Yes,13,201.54,215.31,159.51,6,1
Yes,Yes,17,115.67,251.37,142.25,2,0
No,Yes,33,307.61,76.77,145.52,6,1
No,Yes,5,230.69,258.74,219.38,1,0
No,No,0,348.78,249.75,134.98,2,1
Yes,No,0,195.56,282.96,99.71,0,0
No,Yes,33,178.86,239.07,55.51,5,1
No,No,0,327.37,96.28,115.25,7,1
No,Yes,35,61.65,97.31,83.11,5,1
Yes,No,0,209.91,134.82,55.95,1,0
Yes,No,0,227.51,243.17,234.32,6,1
No,Yes,38,233.75,292.89,168.73,1,0
No,Yes,24,279.24,161.95,58.88,5,1
No,Yes,21,270.34,194.78,141.84,0,1
No,Yes,39,255.76,59.32,232.42,0,0
Yes,Yes,28,337.48,243.24,55.68,4,1
No,No,0,219.88,99.76,158.9,7,1
Yes,Yes,13,192.21,198.66,223.81,4,1
No,Yes,38,75.5,220.55,212.34,1,0
Yes,Yes,6,78.22,262.86,199.01,3,1
Yes,No,0,197.9,85.36,56.41,1,0
No,Yes,39,157.45,185.23,182.4,7,1
No,No,0,54.16,193.06,190.14,7,1
Yes,No,0,96.27,285.27,91.26,3,1
Yes,No,0,303.63,124.24,170.38,3,1
Yes,No,0,197.73,267.16,58.16,2,0
No,No,0,176.58,240.4,89.98,5,1
Yes,Yes,10,60.78,228.74,136.56,5,1
No,Yes,15,88.79,119.6,117.59,0,0
Yes,No,0,85.47,116.24,191.2,2,0
Yes,No,0,174.94,70.91,147.72,3,1
No,No,0,153.0,135.32,96.69,0,0
No,Yes,31,294.2,240.72,220.69,2,1
No,Yes,2,209.5,122.95,67.14,5,1
No,No,0,275.66,272.38,56.31,7,1
No,No,0,227.86,201.46,215.9,0,0
Yes,Yes,7,323.19,150.42,143.88,2,1
Yes,No,0,243.42,103.71,196.53,2,0
Yes,Yes,33,89.68,190.86,206.04,6,1
Yes,Yes,14,151.26,155.89,106.25,7,1
No,Yes,33,275.91,298.86,116.21,1,1
Yes,No,0,275.19,252.03,234.23,7,1
No,Yes,30,282.24,53.07,244.35,4,1
Yes,Yes,29,347.26,203.47,213.68,3,1
No,No,0,115.22,215.22,219.29,3,0
No,Yes,28,261.25,172.72,65.89,5,1
Yes,Yes,35,236.76,166.15,83.1,0,0
No,No,0,262.82,281.53,158.9,4,1
No,No,0,305.95,174.55,162.57,4,1
No,No,0,150.87,254.96,214.62,4,1
Yes,No,0,150.1,92.53,200.62,5,1
No,Yes,17,342.36,103.19,80.74,7,1
Yes,No,0,51.26,283.96,185.38,3,1
No,No,0,307.58,173.07,77.85,2,1
No,No,0,128.57,269.78,232.34,2,0
Yes,No,0,50.46,89.14,59.39,1,0
Yes,Yes,30,194.28,75.16,188.09,2,0
No,No,0,74.19,173.56,62.76,5,1
No,No,0,193.08,102.37,204.67,0,0
No,No,0,319.28,63.18,146.09,3,1
Yes,No,0,267.8,178.19,134.03,2,0
No,No,0,91.54,222.55,133.72,2,0
Yes,No,0,149.77,227.81,218.28,5,1
No,Yes,26,293.11,55.67,61.29,5,1
Yes,Yes,19,153.49,296.92,193.36,5,1
Yes,Yes,35,175.84,84.67,249.12,3,1
No,Yes,13,349.64,293.94,81.0,0,1
Yes,Yes,26,196.3,188.92,217.01,1,0
Yes,No,0,276.89,140.98,246.27,3,1
No,No,0,60.49,139.17,103.72,4,1
Yes,Yes,10,95.61,89.19,97.08,3,1
Yes,No,0,334.3,62.2,109.37,5,1
Yes,No,0,262.56,196.41,73.61,7,1
Yes,No,0,200.07,241.03,93.78,3,1
No,No,0,212.37,197.64,86.33,7,1
No,Yes,30,87.07,193.44,109.2,5,1
Yes,Yes,21,260.65,188.57,115.37,0,0
No,No,0,241.85,98.65,60.87,1,0
No,No,0,238.21,111.34,116.88,1,0
No,No,0,334.82,224.73,119.19,0,1
Yes,No,0,178.47,282.66,241.05,4,1
Yes,Yes,31,291.36,109.64,182.89,3,1
Yes,No,0,82.78,265.95,163.44,2,0
Yes,No,0,76.97,217.71,129.75,6,1
No,No,0,317.1,288.32,242.23,0,1
No,No,0,153.41,297.82,77.41,1,0
No,Yes,27,217.41,204.41,71.34,6,1
Yes,No,0,218.63,183.47,222.38,4,1
Yes,Yes,2,62.55,149.89,122.55,5,1
Yes,No,0,302.8,257.68,190.16,5,1
Yes,No,0,216.04,277.54,164.47,5,1
No,Yes,6,309.99,58.56,193.13,7,1
Yes,No,0,71.77,215.6,193.05,1,0
No,Yes,33,313.47,280.57,163.67,6,1
No,Yes,3,97.09,158.58,172.73,3,0
