International plan,Voice mail plan,Number vmail messages,Total day minutes,Total eve minutes,Total night minutes,Customer service calls,Churn
No,Yes,7,122.25809515668385,269.9213229350641,72.77525298746244,8,1
No,Yes,43,271.04696911606095,135.91889458270688,267.8911368007176,5,0
Yes,Yes,0,215.72803452469665,221.29507251362082,197.66563787235523,2,1
No,No,5,251.2400915183078,292.43928231715523,94.3242569353873,6,0
No,Yes,29,287.8898270894176,265.47593534937255,90.73221144623848,0,0
No,Yes,47,165.9684897145532,296.62195943459136,101.61123603335716,8,0
No,Yes,7,190.2281351000914,269.15727279896987,255.17663268705192,4,0
No,No,44,229.38812553905774,71.9234135024549,120.78085053414223,2,1
Yes,No,1,272.6205449455826,192.86831760101018,114.6330677268458,4,1
No,Yes,9,168.69268512396968,142.98614017665113,97.40206389656518,8,1
Yes,No,18,96.79215482963329,115.26874406910146,130.41820671865926,6,1
No,No,26,249.77948722915613,243.23146901656625,282.79818389731236,6,1
No,No,34,85.66703639159932,132.27048644597457,213.51878091979816,3,0
Yes,No,46,278.09055659876276,212.21564952654407,264.93019317451785,3,1
Yes,Yes,18,155.49397919515906,269.2431842003916,114.5588922102551,5,0
Yes,No,15,113.41208506956173,142.50542916354306,140.3367487411254,2,1
No,No,36,220.0314584795257,119.54028739864282,217.3956017190921,4,0
No,Yes,19,128.14467133182848,264.7481883266661,88.10174731751658,7,0
Yes,No,47,128.48015790515464,259.20832984036235,265.7472528915191,1,1
Yes,No,34,124.62448220520773,188.2448861761482,96.8858859534586,4,0
Yes,No,13,208.29708247702504,261.6741765200841,158.58623737735968,3,0
No,Yes,12,208.92209412948364,183.0933844856242,53.604761663414614,4,0
No,Yes,33,215.89476023021487,288.53020035180145,292.0511932994774,8,1
Yes,Yes,38,106.8740492202081,273.60307037849526,105.77372285281088,0,0
No,Yes,47,209.51747198001152,292.3265952445338,209.96231177743564,2,0
No,Yes,4,196.02165809766203,55.739565080015524,241.5435606429043,2,1
No,No,47,87.72871244692291,165.74350739563116,275.43962601792384,4,1
No,No,47,262.3750489746228,238.08736301385676,131.65028256790526,9,1
Yes,Yes,3,132.73271865150403,284.65890163515263,187.26693173112847,5,1
No,Yes,45,260.8856927009381,243.4062014200409,146.01523550916343,7,1
Yes,Yes,15,298.42465044854725,65.99715201211325,178.46912383517753,5,1
No,No,4,265.48551269022164,93.9541319110991,145.38890743843447,1,0
Yes,Yes,21,206.8739836630736,295.7653808162015,234.78009962647167,4,0
No,No,20,58.47096398704536,151.28456441464647,77.94684080661122,9,1
Yes,Yes,10,249.61354154800858,77.56831998298203,150.0423199785248,6,1
No,Yes,1,81.8612623677355,184.50093657228078,94.44074289272126,4,1
No,Yes,10,107.41425797758285,295.5830622756358,232.756630443175,3,1
No,No,39,239.71578141741566,224.86088947683174,244.06816402957588,5,1
Yes,Yes,21,64.19376612835995,71.68976405087173,231.10598984451923,9,1
No,No,24,187.37180155906304,239.76849838503026,197.39491004342804,6,0
No,Yes,0,276.8737782126981,56.84895255303672,146.7981916607159,1,1
No,No,12,242.2065174752838,256.8381678502696,221.90921898510356,6,1
No,No,33,152.83154656006025,162.23361103451015,253.29478485199445,0,0
Yes,Yes,15,115.43181100335704,107.76592686952836,127.42732691405419,3,0
No,Yes,7,240.33314879775207,213.86724285175993,97.61214713237463,4,1
No,No,13,137.09490581949058,138.0817160169541,294.82902733696017,7,1
No,No,45,242.93106456403967,264.675062030378,178.96266942372625,6,1
No,Yes,1,207.08897805983474,247.1003937211621,265.6189713858483,6,0
No,Yes,4,254.7887846651312,81.75204428794292,196.4509150729789,1,1
Yes,Yes,44,161.98143454427282,86.17417482588465,197.4878393142577,1,1
No,Yes,21,213.48222000867347,285.9750981849229,187.1654451521343,6,0
No,Yes,44,174.46169479186437,199.14083975771058,96.28564450391988,2,1
Yes,No,18,141.09317153293193,278.0349399538227,138.69214532468303,7,1
Yes,Yes,17,276.64824697985114,99.54951478827033,79.1256776923795,9,0
No,Yes,36,252.9084091691415,246.42038929291866,289.22911110723123,4,1
No,Yes,10,217.45904510416182,69.14492580668505,136.31665772744657,3,0
No,No,36,111.69605094959304,291.91326406629054,141.23170406616947,7,1
Yes,Yes,14,95.26678685863538,256.43825950258497,133.38244711534787,0,1
Yes,Yes,41,294.51221426987354,146.80737208878764,62.88680380776902,8,0
Yes,No,15,75.02535322704847,271.1354460851823,249.07924290539037,3,1
No,Yes,37,160.31647158268328,223.66009560507075,124.17380782762854,1,1
Yes,Yes,12,96.74690238835527,208.77133965836094,284.644050615956,7,0
Yes,Yes,39,66.35449225806055,51.75947971105966,152.10960389373227,7,0
No,No,35,163.13663190947005,281.09874607631616,80.74892238959306,9,1
Yes,Yes,38,267.6080923676508,263.33682129826127,261.7588888176907,1,0
No,No,35,160.70493691525337,67.57591579866468,286.95388542390015,8,1
No,Yes,20,273.7984196609271,96.6208668804769,259.9755442138289,7,0
No,Yes,28,255.09094564189485,65.18367298187101,288.6642414782126,7,1
Yes,No,2,58.63889964385198,78.29496162934767,181.61523011124268,8,0
Yes,No,23,98.39032543272928,210.13222059800216,299.7777679410166,7,0
Yes,Yes,36,191.29962331022887,288.9984442674136,262.8146718961401,3,0
No,No,43,248.6870087044168,223.26596277365402,168.777206182904,3,1
No,No,32,263.2138985579219,65.37162866642458,273.386677873679,0,1
No,No,40,252.3649762099644,168.0201929811037,249.98101703724623,8,1
Yes,No,14,213.12074280842776,61.08420566937343,145.33707592622685,4,0
Yes,No,15,54.21609490329314,267.7970969291238,248.69201907789008,7,0
No,No,7,253.7324186246454,262.3575123555407,149.37692890696485,8,0
No,No,23,110.4670917931552,131.45361707173745,228.04657921898854,5,1
Yes,Yes,5,266.5203174393664,241.27602631203396,215.35108802461826,6,1
Yes,Yes,5,93.28391611723927,296.07943873224536,73.82558572222575,1,1
No,Yes,19,251.21564899867542,111.67031003079529,61.223699592988325,4,1
No,No,26,182.94058240999445,226.08067572113916,274.9814044200243,8,1
Yes,Yes,3,293.55747762899125,118.4920560856995,274.5990083812741,7,1
Yes,Yes,27,139.45120599785577,179.1201999408944,117.38717952306355,4,1
Yes,No,4,147.1492119419209,169.8154157510018,249.4629820610156,3,1
No,No,24,203.44794319693406,131.42203767578985,66.0899659717853,6,0
Yes,No,34,137.3860701249993,132.9654381013213,92.11432230455574,1,0
No,No,20,217.5482679359052,244.41478676364505,227.44526509320394,0,0
Yes,No,40,138.80549713648298,129.15389405402854,221.75224666085114,8,0
Yes,No,36,56.36464525001051,135.24916244169168,187.8738947478483,4,1
No,No,14,204.19790227220062,56.54544233141838,90.49770271533279,8,1
Yes,No,48,143.84572047191992,281.6662338803327,92.57886051166027,9,1
No,No,47,184.99518464320587,227.99782107015014,109.96460693255025,4,1
Yes,Yes,49,152.82306565237383,226.56019253627508,267.25954472674005,4,1
No,Yes,37,58.914374631679934,257.138010822861,257.11503432207564,9,1
Yes,Yes,5,209.2367861369077,68.07364075739514,160.8507093349684,8,1
No,Yes,5,268.1737711897616,262.51645680540435,284.4916778458822,8,0
No,Yes,29,189.57576192502603,185.706449299827,156.61142839603124,7,0
Yes,No,19,275.1127105036153,163.8124361810465,222.1256958078939,9,0
No,No,33,202.74062889045345,71.24547316917449,64.41257327035672,9,1
No,No,24,280.8153367479431,240.59065881729418,180.89061180041287,4,0
Yes,Yes,27,155.20389037752398,142.31610796179868,268.0845368033983,6,0
No,No,41,191.970950328262,201.3779228603495,73.00058756871468,5,0
No,Yes,5,53.763290667248704,189.41992678506605,299.0465172465275,5,1
Yes,Yes,41,64.40978769530652,269.60003378587305,74.89747434162074,5,0
Yes,Yes,26,285.55077823436505,64.65779429162103,56.16454223896065,6,1
No,No,23,128.8636811365297,181.33132238068941,227.12386361260874,2,0
Yes,No,27,93.72910573009713,88.95716595977478,274.2866742504855,7,1
Yes,Yes,30,141.4176882558591,186.74214518653181,291.9528947072382,8,0
Yes,No,49,58.28466777495834,117.8686629906588,93.74391149407467,5,1
No,Yes,49,243.90182981075037,130.41875528253888,86.68149947211325,0,1
No,No,4,81.7842113775767,153.09132389715924,214.56502351564643,4,1
No,Yes,3,171.56180817719664,165.3596009495651,278.07221035071507,2,1
No,No,38,214.91305335894768,102.56453099390029,73.47268621484092,8,1
Yes,No,9,255.49211048570962,97.12769726942406,275.30515608803483,8,1
Yes,Yes,30,92.26208952213231,174.27669417262865,240.63460225580312,9,0
Yes,No,16,68.86249411991761,279.13671152824384,93.89669109879266,0,1
No,Yes,30,117.10934495435907,55.4532458533699,171.80832610367372,9,1
Yes,No,40,222.20349468919193,231.66142888919322,106.26135656222937,4,1
Yes,No,0,126.18872552215394,203.91524766525,130.44758747408576,7,0
No,Yes,18,164.81245937523914,91.29310499968025,276.77250726114073,9,0
No,Yes,49,125.32649182877097,75.4311506841571,258.1481393533237,4,0
No,No,20,58.25882773065389,248.23059024082423,218.52127863403484,2,0
No,Yes,38,118.5284670651099,82.38978907380417,137.28442952835726,3,1
No,Yes,3,291.31287680732044,138.68543144766386,133.98500490041107,5,0
Yes,Yes,18,298.52027472316854,255.4512177409375,74.69791346545358,6,1
No,Yes,2,96.67739222269107,102.55411089480492,200.73927818858206,0,1
No,Yes,33,105.64449979038145,226.63788380407095,116.7793763559914,6,1
Yes,No,43,216.50838283520602,111.87126829627515,161.7860768579704,2,0
No,Yes,39,141.84169290281864,129.3671756770551,111.8354708745529,9,1
Yes,No,33,114.50359150736851,197.35586453600322,115.84764704174573,9,0
No,No,14,196.63886419342367,127.13044813062601,269.30723376073234,4,0
Yes,Yes,44,69.83884189863235,72.2739615014883,195.62889487203992,4,0
No,No,48,188.41831283057047,215.5946512148884,70.87243805479596,5,1
Yes,No,4,226.86317589842412,157.408749092774,132.6277789078552,6,1
No,Yes,25,159.02042199133484,232.5970610079012,58.49959760076405,5,1
Yes,No,13,156.57424616282043,216.74496147213443,93.10243011926076,4,1
No,Yes,2,113.06247960427308,163.9027032678651,203.62686546648112,9,1
Yes,No,43,79.68057420880716,256.5062683171907,54.60840787498798,7,0
Yes,Yes,7,150.19984940583166,115.71935811564019,69.8550893671639,8,1
Yes,Yes,25,263.4064707875725,58.597716207753066,192.3247799404158,2,1
No,Yes,6,146.97360265826,196.15677788101843,124.56683924270885,0,1
No,No,41,110.4438836495185,224.04695545267862,74.01740114823129,7,1
Yes,No,27,200.6176528452602,82.91084414674528,291.4488364329651,3,0
No,Yes,1,101.64195120486542,213.05653154100074,113.4749567237918,1,1
Yes,Yes,44,273.757929031854,87.77707092202957,175.80305557933013,0,1
No,No,23,157.27991898392935,184.89046811553507,130.57607151363368,4,0
No,Yes,8,60.90425213631829,90.96348471431871,233.4259692324595,5,1
Yes,No,43,296.63995537941787,76.82896492766054,270.30219323747775,3,0
Yes,Yes,12,114.89972053931822,239.63443272225976,211.6592128167621,3,0
No,Yes,42,65.19657445581204,270.01508504211984,55.11915066341342,5,1
Yes,Yes,47,75.80321857299367,278.51401671540134,236.46102856364075,0,1
Yes,No,7,109.75935725328756,149.08911132887215,170.58605426443967,0,0
Yes,Yes,7,229.63231710342282,236.05314393843415,209.4366143257754,6,1
Yes,Yes,38,161.2087796356352,163.0323796402027,289.87098616018335,7,0
Yes,No,16,174.44335143378964,108.29953073596458,56.610930698586316,1,1
Yes,No,32,228.36543209041682,202.8109018780524,235.18408935834753,8,0
Yes,Yes,5,64.52802460779795,169.13941005958668,105.09677804186263,9,0
No,No,22,217.7690835568725,206.9170776335511,246.71142389857846,7,1
No,Yes,6,222.54244584893914,220.51220935303584,53.40055740530074,8,1
Yes,Yes,44,270.22464001108733,103.45127155528095,209.8493587862685,3,0
No,No,20,153.940224342175,284.9824179755768,263.6263811484697,1,0
Yes,Yes,31,112.56243548354607,108.10589938667177,192.9401887817845,5,1
Yes,Yes,41,272.6700788810501,240.63321541211587,164.04185996711672,4,0
